task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
402	24/a17df9	151bcc64-09e1-45e5-8bc3-180140ce5f3d	run_metric (dimensionality_reduction:rmse-scvis_logCM_1kHVG-tenx_5k_pbmc:openproblems)	COMPLETED	0	2022-05-14 20:05:44.163	2m 30s	1m 10s	734.5%	1.3 GB	4.4 GB	49.5 MB	42.3 KB
405	dc/471315	74560ee2-f7cc-447a-8eff-287019703ee2	run_metric (dimensionality_reduction:qglobal-umap_logCPM_1kHVG-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:05:44.296	2m 30s	1m 11s	92.1%	416.6 MB	3.2 GB	71 MB	285.9 KB
407	b9/10c28a	c2d246c7-2594-4221-b9f8-19809d1063ac	run_metric (dimensionality_reduction:qnn_auc-umap_logCPM_1kHVG-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:05:44.330	2m 30s	1m 7s	95.4%	415.8 MB	3.2 GB	71 MB	285.9 KB
406	49/616d4c	e7398708-8f92-474d-bcfa-672863eb6515	run_metric (dimensionality_reduction:qlocal-umap_logCPM_1kHVG-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:05:44.461	2m 30s	1m 8s	91.0%	415.8 MB	3.2 GB	71 MB	285.9 KB
410	b7/e1c9a1	fee1a61d-b6ab-4210-8960-462f575fd58f	run_metric (dimensionality_reduction:qnn-umap_logCPM_1kHVG-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:05:44.515	2m 30s	1m 9s	94.9%	415.6 MB	3.2 GB	71 MB	285.9 KB
411	03/b830f9	c55969dd-0dc1-41d2-8669-db5ec4fdea13	run_metric (dimensionality_reduction:rmse-umap_logCPM_1kHVG-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:05:44.541	2m 30s	1m 8s	765.7%	289.1 MB	3.4 GB	69.4 MB	42.3 KB
413	c7/0a8238	579e4ca6-14dd-478a-a354-401e74c1a7e2	run_metric (dimensionality_reduction:continuity-umap_logCPM_1kHVG-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:05:44.638	2m 30s	1m 3s	95.8%	415.7 MB	3.2 GB	71 MB	285.9 KB
266	82/131282	e93482aa-6ace-4dd6-bc51-b3f3bc0d6b7b	run_metric (dimensionality_reduction:density_preservation-densmap_pca_logCPM_1kHVG-tenx_5k_pbmc:openproblems-python-extras)	COMPLETED	0	2022-05-14 20:02:14.547	6m 9s	1m 56s	112.7%	828.9 MB	12.4 GB	76.1 MB	2 MB
275	13/cb0d98	d4de8136-6a1b-4c4a-b714-5b0744c876d7	run_metric (dimensionality_reduction:density_preservation-tsne_logCPM_1kHVG-olsson_2016_mouse_blood:openproblems-python-extras)	COMPLETED	0	2022-05-14 20:02:14.903	6m 9s	1m 35s	84.6%	591.9 MB	11.9 GB	74.5 MB	2 MB
294	af/5d3c23	4e99a321-14cc-45a7-aa70-5c8678bbb72b	run_metric (dimensionality_reduction:density_preservation-densmap_pca_logCPM_1kHVG-olsson_2016_mouse_blood:openproblems-python-extras)	COMPLETED	0	2022-05-14 20:02:24.667	6m	1m 40s	83.6%	591.8 MB	11.9 GB	74.5 MB	2 MB
312	f5/282c77	4ea475a8-6e38-45cb-a1a2-97d44dea9a1c	run_metric (dimensionality_reduction:density_preservation-umap_logCPM_1kHVG-olsson_2016_mouse_blood:openproblems-python-extras)	COMPLETED	0	2022-05-14 20:02:54.689	5m 30s	1m 40s	86.6%	595.4 MB	11.9 GB	74.5 MB	2 MB
412	16/312191	8dc5eabb-6809-443b-9010-b3d3fecae3f8	run_metric (dimensionality_reduction:lcmc-umap_logCPM_1kHVG-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:05:44.614	2m 40s	1m 11s	93.3%	415.3 MB	3.2 GB	71 MB	285.9 KB
436	1c/999111	85b48cf8-d86d-48e6-ae2e-105bae0653fe	run_metric (label_projection:f1-logistic_regression_log_cpm-zebrafish_random:openproblems)	COMPLETED	0	2022-05-14 20:07:23.811	1m 1s	30.1s	37.7%	1.5 GB	4 GB	1.1 GB	42.3 KB
435	3f/1bd907	7ea3d9f2-cd26-46ed-847b-cf4811a76052	run_metric (label_projection:f1_micro-logistic_regression_log_cpm-zebrafish_random:openproblems)	COMPLETED	0	2022-05-14 20:07:23.859	1m 1s	23.4s	47.5%	1.4 GB	3.9 GB	1.1 GB	42.3 KB
172	1d/ca9f20	0985de21-f8dd-47fa-84de-5a2792bb4f7a	run_method (dimensionality_reduction:tsne_logCPM_1kHVG-human_blood_nestorowa2016:openproblems-python-extras)	COMPLETED	0	2022-05-14 19:59:34.046	8m 59s	3m 54s	325.8%	1.2 GB	10 GB	685.8 MB	30.5 MB
321	ae/33bd00	3915be71-7464-43d4-8559-f34f115fe86d	run_metric (dimensionality_reduction:density_preservation-phate_logCPM_1kHVG-tenx_5k_pbmc:openproblems-python-extras)	COMPLETED	0	2022-05-14 20:03:03.944	5m 30s	1m 54s	120.0%	823.8 MB	12.4 GB	74.8 MB	2 MB
450	5e/80cec9	2926e759-b897-4658-9659-088d7f592104	run_metric (dimensionality_reduction:trustworthiness-phate_logCPM_1kHVG-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:07:53.861	39.9s	11.1s	108.6%	359.3 MB	3.2 GB	67.9 MB	42.3 KB
329	48/a08e2f	6b4ae6e7-1db3-4777-a04c-d37fc4a78152	run_method (multimodal_data_integration:mnn_log_cpm-citeseq_cbmc:openproblems-r-extras)	COMPLETED	0	2022-05-14 20:03:13.781	5m 30s	1m 32s	69.9%	1.9 GB	4.6 GB	266.4 MB	367.3 MB
409	70/2dc6d3	8f024652-2a6b-4086-9485-061b544bd807	run_metric (dimensionality_reduction:density_preservation-umap_logCPM_1kHVG-human_blood_nestorowa2016:openproblems-python-extras)	COMPLETED	0	2022-05-14 20:05:44.489	2m 59s	1m 36s	94.7%	679.2 MB	12.3 GB	94.7 MB	2 MB
416	22/fbad72	feae3d8e-9d5e-4b20-817e-dad913797431	run_metric (multimodal_data_integration:knn_auc-procrustes-citeseq_cbmc:openproblems)	COMPLETED	0	2022-05-14 20:06:55.024	1m 49s	48.3s	574.0%	1.5 GB	4.6 GB	313.7 MB	42.3 KB
426	99/399eb0	16a8ac5c-5f0a-44f8-b9dc-1af49ea2cb89	run_metric (dimensionality_reduction:qglobal-densmap_pca_logCPM_1kHVG-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:07:04.340	1m 40s	1m 7s	94.5%	414.2 MB	3.2 GB	70.2 MB	285.9 KB
431	c9/ca4dc1	7ef3656f-294a-4bfc-8923-40fa9550003c	run_metric (dimensionality_reduction:qnn-densmap_pca_logCPM_1kHVG-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:07:04.533	1m 39s	1m	99.5%	415.3 MB	3.2 GB	70.2 MB	285.9 KB
434	09/5f0487	4c274b3c-d7f9-47ad-bc0b-65f42af85dd0	run_metric (dimensionality_reduction:continuity-densmap_pca_logCPM_1kHVG-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:07:04.705	1m 39s	1m	99.7%	415 MB	3.2 GB	70.2 MB	285.9 KB
437	ee/6492bc	c2c85016-7930-4d7b-a90b-4589f69b1359	run_metric (label_projection:accuracy-logistic_regression_log_cpm-zebrafish_random:openproblems)	COMPLETED	0	2022-05-14 20:07:23.856	1m 20s	47.9s	23.6%	1.5 GB	4 GB	1.1 GB	42.3 KB
139	3d/f48380	867c08ac-7bc4-4087-acbe-decacf859a41	run_method (label_projection:knn_classifier_scran-zebrafish_labels:openproblems-r-base)	FAILED	137	2022-05-14 19:59:04.308	9m 50s	5m 30s	-	-	-	-	-
422	1a/29f34f	2133c007-8de5-4ff1-ab69-bec20e8c8ace	run_metric (dimensionality_reduction:qnn-densmap_logCPM_1kHVG-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:07:04.097	1m 50s	1m 10s	91.3%	413.4 MB	3.2 GB	69.5 MB	285.9 KB
425	d1/0a035a	27998d82-1c20-40b7-85ac-f4d287ad0507	run_metric (dimensionality_reduction:continuity-densmap_logCPM_1kHVG-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:07:04.263	1m 50s	1m 8s	96.0%	413.8 MB	3.2 GB	69.5 MB	285.9 KB
427	81/ecd363	3966634b-6912-4c53-8b5f-4566fc88aa80	run_metric (dimensionality_reduction:qlocal-densmap_pca_logCPM_1kHVG-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:07:04.412	1m 50s	1m 15s	95.1%	414.9 MB	3.2 GB	70.2 MB	285.9 KB
428	da/47f40d	9f0497f2-cdc4-4aa2-a31b-a7b08ab48107	run_metric (dimensionality_reduction:qnn_auc-densmap_pca_logCPM_1kHVG-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:07:04.485	1m 50s	1m 8s	95.4%	415.6 MB	3.2 GB	70.2 MB	285.9 KB
417	17/eb3c6a	13e877de-8df4-45f1-a507-303d32d08669	run_metric (dimensionality_reduction:qglobal-densmap_logCPM_1kHVG-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:07:04.540	1m 50s	1m 15s	96.6%	414.7 MB	3.2 GB	69.5 MB	285.9 KB
432	c5/7ca723	59b162d7-452b-4a56-9304-5409b5281861	run_metric (dimensionality_reduction:rmse-densmap_pca_logCPM_1kHVG-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:07:04.620	1m 50s	1m 12s	763.6%	440 MB	3.5 GB	68.7 MB	42.3 KB
433	fd/867c73	6e9e07f6-1d8f-4deb-a403-7278f81f95ad	run_metric (dimensionality_reduction:lcmc-densmap_pca_logCPM_1kHVG-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:07:04.710	1m 50s	1m 8s	93.5%	414.2 MB	3.2 GB	70.2 MB	285.9 KB
303	b0/e9eb03	062f3e63-b616-4e86-a1e3-225e8dc632de	run_metric (dimensionality_reduction:density_preservation-phate_default-olsson_2016_mouse_blood:openproblems-python-extras)	COMPLETED	0	2022-05-14 20:02:54.057	6m 9s	2m 8s	71.8%	1.7 GB	15.8 GB	952.6 MB	2 MB
355	22/43355d	2c82939e-6f08-4190-8967-141a0a91b439	run_metric (dimensionality_reduction:density_preservation-pca_logCPM_1kHVG-human_blood_nestorowa2016:openproblems-python-extras)	COMPLETED	0	2022-05-14 20:04:53.929	4m 10s	2m 16s	86.3%	677.9 MB	12.3 GB	94 MB	2 MB
400	95/76590b	d12ac654-c60b-4d79-9e22-191a079ec22e	run_metric (dimensionality_reduction:density_preservation-scvis_logCM_1kHVG-tenx_5k_pbmc:openproblems-python-extras)	COMPLETED	0	2022-05-14 20:05:44.007	3m 20s	1m 59s	110.5%	829.1 MB	12.4 GB	74.7 MB	2 MB
418	01/cffbf9	b80147f0-1ecb-41ed-bda5-b94a3cb1074b	run_metric (dimensionality_reduction:qlocal-densmap_logCPM_1kHVG-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:07:03.839	2m	1m 21s	82.1%	413.8 MB	3.2 GB	69.5 MB	285.9 KB
419	43/10db80	bea1c6fc-9ac7-482c-b528-bf27e6d8f718	run_metric (dimensionality_reduction:qnn_auc-densmap_logCPM_1kHVG-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:07:03.943	2m	1m 21s	84.9%	413.3 MB	3.2 GB	69.5 MB	285.9 KB
423	30/bb2e84	1ca1f386-190d-4da0-9c57-d1286c82767b	run_metric (dimensionality_reduction:rmse-densmap_logCPM_1kHVG-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:07:04.132	2m	1m 24s	607.5%	288.2 MB	3.4 GB	67.9 MB	42.3 KB
424	e2/f711d5	84815711-7860-4cfc-8be1-b189644a860f	run_metric (dimensionality_reduction:lcmc-densmap_logCPM_1kHVG-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:07:04.226	2m	1m 22s	80.6%	413.2 MB	3.2 GB	69.5 MB	285.9 KB
439	5f/ab37ec	f59261a8-d261-4269-bc9b-c59468e2e32c	run_metric (dimensionality_reduction:qlocal-phate_default-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:07:23.978	1m 41s	1m 6s	89.3%	1.5 GB	4.2 GB	1003.7 MB	350.4 KB
443	7d/f774be	6f93af86-10d6-48a9-8beb-aef33f28791f	run_metric (dimensionality_reduction:qnn-phate_default-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:07:24.204	1m 49s	1m 10s	97.4%	1.5 GB	4.2 GB	1003.7 MB	350.3 KB
447	0a/dde031	30232391-f484-454e-a3b9-658f7269627a	run_metric (dimensionality_reduction:qglobal-phate_logCPM_1kHVG-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:07:53.677	1m 20s	55.6s	93.4%	432.7 MB	3.2 GB	69.5 MB	350.3 KB
452	36/fb155c	e0e487c9-3a40-4ec4-8f16-da13d4b0338e	run_metric (dimensionality_reduction:qnn-phate_logCPM_1kHVG-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:07:53.954	1m 20s	54.3s	97.6%	432.3 MB	3.2 GB	69.5 MB	350.3 KB
459	bb/02a261	e322100a-e838-494c-89ad-db64ded60519	run_metric (dimensionality_reduction:trustworthiness-scvis_logCM_1kHVG-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:08:13.847	1m	32s	36.2%	208.2 MB	3 GB	67.9 MB	42.3 KB
91	f8/6c038b	28303397-600b-4fc7-94f2-3b76c68b9060	load_dataset (batch_integration_graph:immune_batch:openproblems)	FAILED	137	2022-05-14 19:56:14.842	13m 9s	13m	-	-	-	-	-
414	d9/b213bc	b08eef8a-4538-4625-97e1-c12b49d89c7a	load_dataset (label_projection:tabula_muris_senis_lung_random:openproblems)	COMPLETED	0	2022-05-14 20:06:13.672	3m 10s	1m 27s	29.4%	3.3 GB	5.8 GB	1.7 GB	3.2 GB
438	fc/f2bb0d	e8ce424b-46e9-4ae9-a9cd-0778b537514f	run_metric (dimensionality_reduction:qglobal-phate_default-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:07:24.003	2m	1m 31s	78.0%	1.5 GB	4.2 GB	1003.7 MB	350.3 KB
440	f5/0180a1	a592813c-d2b9-4583-8a7a-9fa84f751f14	run_metric (dimensionality_reduction:qnn_auc-phate_default-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:07:24.050	2m	1m 30s	79.3%	1.5 GB	4.2 GB	1003.7 MB	350.4 KB
448	0c/e95b1c	02b27cff-22fb-4e3b-bc8f-3cb19f3aa0d7	run_metric (dimensionality_reduction:qlocal-phate_logCPM_1kHVG-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:07:53.858	1m 31s	1m 4s	96.3%	432.5 MB	3.2 GB	69.5 MB	350.3 KB
453	8f/ca9e90	fa10ee7a-0668-438e-800f-0e752f7d2dcb	run_metric (dimensionality_reduction:rmse-phate_logCPM_1kHVG-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:07:53.955	1m 31s	1m 9s	746.7%	288.7 MB	3.4 GB	67.9 MB	42.3 KB
454	4d/a74e5c	38af4eeb-3928-40c4-8137-5f898cd0a683	run_metric (dimensionality_reduction:lcmc-phate_logCPM_1kHVG-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:07:53.988	1m 31s	1m 5s	95.0%	432.8 MB	3.2 GB	69.5 MB	350.3 KB
455	f7/95216d	da2d3122-3c16-4276-9b0a-394c3da21920	run_metric (dimensionality_reduction:continuity-phate_logCPM_1kHVG-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:07:54.112	1m 31s	1m 6s	99.4%	432.4 MB	3.2 GB	69.5 MB	350.4 KB
462	1d/bc4885	668b8df9-c853-4847-bfb7-795ea94d1589	run_metric (dimensionality_reduction:rmse-scvis_logCM_1kHVG-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:08:13.954	1m 11s	43.5s	1511.5%	288.2 MB	3.4 GB	67.9 MB	42.3 KB
468	23/52c1fa	30ec33ce-db36-45f2-ba91-d63557a9ae00	run_metric (dimensionality_reduction:trustworthiness-tsne_logCPM_1kHVG-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:08:33.886	51.3s	11s	105.8%	359.8 MB	3.2 GB	68.7 MB	42.3 KB
474	5f/dbdde3	c386dcfd-dbdc-4e46-966b-2fbd0a2845a3	run_metric (multimodal_data_integration:mse-mnn_log_cpm-citeseq_cbmc:openproblems)	COMPLETED	0	2022-05-14 20:08:43.775	41.5s	14.1s	55.5%	242.2 MB	3 GB	404.6 MB	42.3 KB
327	8a/a9cf29	3102d4df-52b5-4171-909a-5a718aad5a91	run_method (multimodal_data_integration:harmonic_alignment_sqrt_cpm-citeseq_cbmc:openproblems-python-extras)	COMPLETED	0	2022-05-14 20:03:13.619	6m 20s	2m 46s	684.1%	652.8 MB	7.2 GB	223.8 MB	287.8 MB
430	cd/616116	1814b977-67e5-4ae7-a49a-77621e43b446	run_metric (dimensionality_reduction:density_preservation-densmap_pca_logCPM_1kHVG-human_blood_nestorowa2016:openproblems-python-extras)	COMPLETED	0	2022-05-14 20:07:04.552	2m 29s	1m 49s	93.0%	680.2 MB	12.3 GB	94 MB	2 MB
461	0f/f45834	e9ad916a-0323-40e0-b97d-d5c303e805c0	run_metric (dimensionality_reduction:qnn-scvis_logCM_1kHVG-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:08:13.959	1m 20s	57.1s	119.2%	415.4 MB	3.2 GB	69.5 MB	285.9 KB
471	2c/f9f03c	eb5ffb4b-6ba7-409f-9cfd-89cac171debc	run_metric (dimensionality_reduction:rmse-tsne_logCPM_1kHVG-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:08:33.969	1m 9s	35s	1598.8%	288.7 MB	3.4 GB	68.7 MB	42.3 KB
472	99/3fd3d7	3647f53e-6b7e-40a4-8f51-0dccdb0f30c7	run_metric (dimensionality_reduction:lcmc-tsne_logCPM_1kHVG-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:08:34.082	1m 9s	44.2s	112.9%	415.5 MB	3.2 GB	70.3 MB	285.9 KB
161	f1/e60160	a34048fe-b665-430d-9028-0f419ba547ad	run_method (label_projection:scanvi_hvg-zebrafish_random:openproblems-python-scvi)	FAILED	137	2022-05-14 19:59:05.290	10m 48s	6m	-	-	-	-	-
190	06/c7c706	90458325-836e-41bd-889f-f042e9eea14c	run_method (label_projection:scanvi_hvg-cengen_random:openproblems-python-scvi)	FAILED	137	2022-05-14 19:59:34.850	10m 19s	5m 10s	-	-	-	-	-
421	cf/ed0c39	fbbd4457-bd59-41bc-82b4-3342c5e2b18b	run_metric (dimensionality_reduction:density_preservation-densmap_logCPM_1kHVG-human_blood_nestorowa2016:openproblems-python-extras)	COMPLETED	0	2022-05-14 20:07:04.056	2m 50s	2m 4s	86.4%	675.6 MB	12.3 GB	93.2 MB	2 MB
441	63/f7fc29	15c07209-5d37-4192-aa84-e7546b60e984	run_metric (dimensionality_reduction:trustworthiness-phate_default-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:07:24.200	2m 30s	1m 58s	207.9%	1.4 GB	4.2 GB	1002 MB	42.3 KB
445	8f/6ce908	27597082-24ca-459f-9bdf-373e0a07cda3	run_metric (dimensionality_reduction:lcmc-phate_default-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:07:24.263	2m 30s	1m 50s	66.0%	1.5 GB	4.2 GB	1003.7 MB	350.4 KB
446	41/afb988	db9cfd2c-9154-4e99-af48-792089c4605b	run_metric (dimensionality_reduction:continuity-phate_default-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:07:24.308	2m 30s	1m 50s	65.0%	1.5 GB	4.2 GB	1003.7 MB	350.4 KB
449	bb/64b2b4	a57a1f20-3827-4d4f-95b4-6f198f3210e0	run_metric (dimensionality_reduction:qnn_auc-phate_logCPM_1kHVG-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:07:53.788	2m 1s	1m 20s	81.6%	429.7 MB	3.2 GB	69.5 MB	350.4 KB
457	ec/9c1fca	f2d87075-5458-4669-a2a2-b8fcb079697f	run_metric (dimensionality_reduction:qlocal-scvis_logCM_1kHVG-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:08:13.729	1m 41s	1m 15s	85.7%	413.9 MB	3.2 GB	69.5 MB	285.9 KB
463	7b/68960e	12c9f00b-4d1b-4968-9a30-cbccfec3346c	run_metric (dimensionality_reduction:lcmc-scvis_logCM_1kHVG-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:08:13.990	1m 41s	1m 6s	103.3%	413.7 MB	3.2 GB	69.5 MB	285.9 KB
467	64/3ea5cd	4061d572-8129-490c-a8a8-782526ac5dae	run_metric (dimensionality_reduction:qnn_auc-tsne_logCPM_1kHVG-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:08:33.791	1m 21s	55s	101.0%	413.9 MB	3.2 GB	70.3 MB	285.9 KB
138	58/83dae4	f356dc15-5e5f-4e0a-8ade-41b6688e7afd	run_method (label_projection:knn_classifier_log_cpm-zebrafish_labels:openproblems)	FAILED	137	2022-05-14 19:59:04.163	10m 59s	7m 49s	-	-	-	-	-
203	eb/115281	29980c91-c7df-415d-8849-ca5749bf1456	run_method (label_projection:scarches_scanvi_all_genes-cengen_batch:openproblems-python-scvi)	FAILED	137	2022-05-14 19:59:35.359	10m 28s	5m 30s	-	-	-	-	-
458	18/211a15	d9fc8176-1494-4954-b9dd-457bd638a368	run_metric (dimensionality_reduction:qnn_auc-scvis_logCM_1kHVG-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:08:13.767	1m 50s	1m 13s	76.7%	412.9 MB	3.2 GB	69.5 MB	285.9 KB
456	96/fbb070	4aa8b9cc-e558-435f-8ed2-180f7d3d854d	run_metric (dimensionality_reduction:qglobal-scvis_logCM_1kHVG-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:08:13.773	1m 51s	1m 26s	73.5%	414.9 MB	3.2 GB	69.5 MB	285.9 KB
464	7a/c79434	1dd9968c-4810-4951-ab9b-ec2825ee41f4	run_metric (dimensionality_reduction:continuity-scvis_logCM_1kHVG-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:08:14.021	1m 51s	1m 13s	76.3%	412.6 MB	3.2 GB	69.5 MB	285.9 KB
465	d4/7d0655	166a58f4-eb75-4e00-847d-6ab3da01068f	run_metric (dimensionality_reduction:qglobal-tsne_logCPM_1kHVG-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:08:33.758	1m 31s	1m 3s	110.3%	413.8 MB	3.2 GB	70.3 MB	285.9 KB
466	03/8d5386	1ba08977-266b-4f20-ab0c-73e62a02bfe6	run_metric (dimensionality_reduction:qlocal-tsne_logCPM_1kHVG-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:08:33.829	1m 31s	55.9s	107.5%	413.7 MB	3.2 GB	70.3 MB	285.9 KB
470	1f/0000c3	82c254dd-6f70-4343-ac7a-ed73d94e4c00	run_metric (dimensionality_reduction:qnn-tsne_logCPM_1kHVG-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:08:33.985	1m 31s	53.8s	113.4%	413.9 MB	3.2 GB	70.3 MB	285.9 KB
490	25/804af4	ef7e928f-0728-4d1d-abda-4c2cdbf8cee5	run_metric (multimodal_data_integration:mse-harmonic_alignment_sqrt_cpm-citeseq_cbmc:openproblems)	COMPLETED	0	2022-05-14 20:09:33.813	31.3s	9.4s	86.0%	246.8 MB	3 GB	325.2 MB	42.3 KB
174	9f/991f3c	35f40873-d830-447a-bf3e-a4f1019f70e4	run_method (dimensionality_reduction:neuralee_default-human_blood_nestorowa2016:openproblems-python-extras)	FAILED	137	2022-05-14 19:59:34.173	10m 39s	5m 50s	-	-	-	-	-
473	1d/846afc	7d87ca92-5a09-4842-9835-ad5cd4cb4241	run_metric (dimensionality_reduction:continuity-tsne_logCPM_1kHVG-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:08:34.002	1m 40s	1m 2s	99.7%	413.9 MB	3.2 GB	70.3 MB	285.9 KB
444	8f/8568ba	dbdf66ed-c1a3-4997-b37c-31843108f088	run_metric (dimensionality_reduction:rmse-phate_default-human_blood_nestorowa2016:openproblems)	COMPLETED	0	2022-05-14 20:07:24.287	2m 59s	2m 21s	361.4%	1.4 GB	4.4 GB	1002 MB	42.3 KB
113	f8/0418eb	8c663c9e-28ee-4efe-8d8d-55b1f4d4c03e	run_method (multimodal_data_integration:harmonic_alignment_log_scran_pooling-scicar_cell_lines:openproblems-r-extras)	FAILED	137	2022-05-14 19:58:53.718	11m 40s	9m 31s	-	-	-	-	-
143	72/ddc9f8	e0142570-345e-4ea7-a572-3f2c161be631	run_method (label_projection:logistic_regression_scran-zebrafish_labels:openproblems-r-base)	FAILED	137	2022-05-14 19:59:04.430	11m 30s	5m 50s	-	-	-	-	-
176	7e/43fe0f	d984c1e8-dd80-417a-883c-b7e69cd92a0f	run_method (dimensionality_reduction:neuralee_logCPM_1kHVG-human_blood_nestorowa2016:openproblems-python-extras)	COMPLETED	0	2022-05-14 19:59:34.245	11m	5m 55s	889.6%	1.4 GB	26.9 GB	692.7 MB	29.8 MB
451	7f/4257ca	89ea526e-9810-4439-a90a-0d6fa0dc843e	run_metric (dimensionality_reduction:density_preservation-phate_logCPM_1kHVG-human_blood_nestorowa2016:openproblems-python-extras)	COMPLETED	0	2022-05-14 20:07:53.894	2m 41s	2m 10s	89.8%	679.4 MB	12.3 GB	93.2 MB	2 MB
460	07/4144b9	4b48b110-605f-4858-bccc-967adb6321cf	run_metric (dimensionality_reduction:density_preservation-scvis_logCM_1kHVG-human_blood_nestorowa2016:openproblems-python-extras)	COMPLETED	0	2022-05-14 20:08:13.841	2m 21s	1m 47s	81.8%	675.9 MB	12.2 GB	93.2 MB	2 MB
469	5a/2925a4	e3d8e649-edf1-4273-b3fe-7c6b269a7fd7	run_metric (dimensionality_reduction:density_preservation-tsne_logCPM_1kHVG-human_blood_nestorowa2016:openproblems-python-extras)	COMPLETED	0	2022-05-14 20:08:33.896	2m 1s	1m 23s	99.3%	681.2 MB	12.3 GB	94 MB	2 MB
475	21/33dc28	c4be4e59-25fc-45f5-9a02-ca17c880480e	run_metric (multimodal_data_integration:knn_auc-mnn_log_cpm-citeseq_cbmc:openproblems)	COMPLETED	0	2022-05-14 20:08:43.666	1m 51s	1m 17s	310.1%	1.6 GB	4.7 GB	404.6 MB	42.3 KB
491	b4/44cadc	ca46048a-8a60-4084-b6c1-5e719b157d8a	run_metric (multimodal_data_integration:knn_auc-harmonic_alignment_sqrt_cpm-citeseq_cbmc:openproblems)	COMPLETED	0	2022-05-14 20:09:33.669	1m 1s	42.1s	622.7%	1.5 GB	7.2 GB	325.2 MB	71.7 KB
146	61/f6cdf3	4d28228d-297f-4393-a237-a752a6cfea78	run_method (label_projection:mlp_scran-zebrafish_labels:openproblems-r-base)	FAILED	137	2022-05-14 19:59:04.655	11m 39s	6m	-	-	-	-	-
